File_Name,Text_Content,Annotator_1,Annotator_2,Annotator_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_1,"             CVS and Walgreens said theyve received certification to dispense mifepristone, a pill thats part of a regimen for medication abortion, and will start making the medicine available in a limited number of states where its legal.                   CVS told CNN that itll begin filling prescriptions for mifepristone in Massachusetts and Rhode Island in the weeks ahead and plans to expand to more states, where allowed by law, on a rolling basis.                   Walgreens told CNN that it expects to start dispensing mifepristone within a week, consistent with federal and state laws, and is beginning in select locations in New York, Pennsylvania, Massachusetts, California and Illinois. The pharmacy giant said its starting with a phased rollout to allow us to ensure quality, safety and privacy for our patients, providers and team members.       Related article Few large employers alter abortion coverage after Supreme Court ruling               Both pharmacy chains noted that they already dispense misoprostol, the other medication involved in medication abortion regimens.                   Medication abortion is the most common method of abortion in the United States, according to data from the US Centers for Disease Control and Prevention. Its approved by the US Food and Drug Administration for use up to 10 weeks into pregnancy.                   Mifepristone has been at the center of legal challenges in the US, and the Supreme Court said in December that it would consider whether to restrict access to it, with a decision expected by July.                   The New York Times first reported Friday that CVS and Walgreens plan to sell mifepristone.                   The FDA issued an update to guidelines around how mifepristone may be dispensed in January 2023, allowing the drug to be provided by certified pharmacies on a prescription issued by a certified prescriber.                   Before then, the FDA required certified prescribers to dispense the drug directly to patients at a clinic, medical office or hospital, referred to as the in-person dispensing requirement. The drug was also available through mail-order pharmacies, as the agency said it wouldnt enforce the in-person requirement during the Covid-19 pandemic.                   President Joe Biden called the news ??an important milestone in ensuring access to mifepristone, a drug that has been approved by the Food and Drug Administration as safe and effective for more than 20 years.??       Related article What is mifepristone?               ??With major retail pharmacy chains newly certified to dispense medication abortion, many women will soon have the option to pick up their prescription at a local, certified pharmacy ?C just as they would for any other medication,?? the president wrote in a statement Friday. ??I encourage all pharmacies that want to pursue this option to seek certification.??                   Biden also warned that the stakes ??cou",2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_2,"Hot Stocks     Fear & Greed Index                  Latest Market News                  Hot Stocks     Follow:              Large employers did not make many changes to their abortion coverage after the Supreme Courts 2022 decision that allowed states to ban or severely restrict abortion, according to a new analysis from KFF.                   Some 12% of large firms whose biggest plan covers abortion under most or all circumstances added or expanded abortion coverage after the ruling, found KFF, a nonpartisan health policy research organization. Some 3% reduced or eliminated coverage for abortion where it is legal.                   Only about one third of large firms that provide health insurance cover abortion in most or all circumstances in their largest plan; while 28% dont cover it at all or only in limited circumstances, such as rape, incest or life endangerment.                   Some 40% of respondents to KFFs Employer Health Benefits Survey in 2023 said they didnt know whether their largest plan covers abortion  possibly because of limited information about abortion coverage in the plan documents unless it is explicitly excluded.                   A bigger share of the largest firms  those with 5,000 or more workers ?? covers abortion, compared to firms with between 200 and 999 staffers. Large public employers, such as state and local governments, were less likely to provide abortion coverage than private for profit or nonprofit firms.                   The prevalence of abortion coverage also depends on where large employers are headquartered. Some 56% of those based in ",3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_3,"             France is one step closer to enshrining abortion rights in its constitution after French senators overwhelmingly endorsed the change on Wednesday.                   A total of 267 senators voted in favor of the change, with 50 voting against it. The constitutional amendment faces a final test next Monday when it needs to secure the backing of three-fifths of lawmakers at a joint congress of parliament, which will see both houses vote together.                   ??I am committed to making women??s freedom to have an abortion irreversible by enshrining it in the constitution,?? Emmanuel Macron said in a post on X, celebrating the Senate vote.                   The bid for constitutionalization became a priority for the French government following the overturning by the United States Supreme Court of Roe v. Wade in June 2022, though the cause has been championed for several years by left-wing lawmakers and women??s rights activists.                   Currently, abortion rights in France are protected by a 1975 law which has been amended on numerous occasions, most recently in 2022, to lengthen the time frame for legal abortions from 12 to 14 weeks of pregnancy. Like all laws, however, it could be revoked by a vote in the French parliament.                   The move has overwhelming support from the French public, according to polling, but has faced criticism from right-wing lawmakers. Backers of the bill say constitu",4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_4,"             Egyptian papyrus, Greek plays, Roman coins, the medieval biographies of saints, medical and midwifery manuals, and Victorian newspaper and pamphlets reveal that abortion was more common in premodern times than people might think.                   This long view of abortion matters, according to Mary Fissell, a professor of the history of medicine at Johns Hopkins University. Thats because assumptions about how abortion was viewed in the past color present-day arguments about abortion rights. Those rights have been severely restricted in many US states since Roe v. Wade, the 1973 Supreme Court ruling that effectively made abortion legally available, was overturned on June 24, 2022, by the US Supreme Court in Dobbs v. Jackson Womens Health Organization.                   Abortion opponents portray the rights granted by Roe v. Wade and legal access to abortion as an historical aberration, according to Fissell, which is not accurate, historians say.                   We have to understand that this is much more changeable than weve been led to believe. Theres a steady constant of women terminating pregnancies throughout history, but the meanings of that act have changed very significantly over time and will continue to change, said Fissell, who is working on Long Before Roe, a book on the history of abortion that will publish in 2025.                   The Dobbs decision was not inevitable, but rather a part of a much longer cycle of restriction versus acceptance, she said. ?               The first written references to abortion are contained in an ancient Egyptian papyrus written about 3,500 years ago. The Ebers Papyrus, a medical text, suggested around 1550 BC that abortion could be induced using a plant-fibre tampon coated with a compound that included honey and crushed dates.               In ancient Greek and Rome, references to abortion and botanical substances that induce abortion were common in medical and other texts  although its not clear how widely they were used, Fissell said.                   In 411 BC, Greek playwright Aristophanes in his play Lysistrata described a desirable young woman as trimmed and spruced with pennyroyal, a plant thought to induce abortion.                   Plants and botanical substances can have toxic effects, and theres no evidence on whether historical methods to induce abortion were effective or not.                   In ancient Rome, another plant that was thought to end an unwanted pregnancy (among other uses), was so valued it disappeared  the first recorded extinction in world history, according to archaeologist Lisa Briggs, a research fellow at Cranfield University and a visiting researcher at the British Museum.                   Silphium, also used to flavor food, was traded across the ancient Roman empire. The city state of Cyrene (in modern-day Libya), the only region where the plant grew, based its whole economy on the plant. It appeared on coins and other artifacts unearthed from the region, Briggs said.                   Contemporary authors said it was worth its weight in gold and silver. And so it clearly had a value beyond just its tastiness. I suspect that womens desire to use it as an abortifacient is one of the reasons the price was driven up, said Briggs, who is searching for archaeological evidence of the plant, which was turned into a resin, in shipwrecks and museum collections.                   Pliny the Elder, a Roman author and philosopher who was born around 23 AD, described the plants ability to expel an unborn fetus along with other medical uses. Its impossible to know for sure whether the plant would have had the desired effect, but modern-day studies on related Ferula plants and lab rats showed the plants exhibit anti-fertility properties in rodents, Briggs wrote in a paper she coauthored last year.                Briggs believes demand for the plant among women may have been a key factor, although not the only reason, for its extinction. The plant was resistant to cultivation, Briggs noted, and climate change and a shift in soil characteristics may also have been factors.                Its sometimes assumed that Christianity has always unequivocally condemned abortion but Maeve Callan, a professor and historian of religion at Simpson College in Iowa, said this misrepresents the past.                   People act like theres only one acceptable attitude towards abortion if youre Catholic, or if youre Christian more broadly, or even if youre religious more broadly. And theres always been a diversity of viewpoints, said Callan, the author of the book ??Sacred Sisters: Gender, Sanctity, and Power in Medieval Ireland.??                   Her research, along with other scholars, has uncovered four medieval Irish saints who celebrated ending pregnancy among their miracles, according to medieval manuscripts that described saints?? lives. Typically, these miracles include a nun who has breached her vow to chastity and become pregnant but, through th",6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_5,"             Good luck trying to keep on top of the fight for abortion rights in the US. Its everywhere, all over the map, and its all happening right now.                   A GOP proposal, introduced Tuesday by Sen. Lindsey Graham of South Carolina, would impose a national abortion ban after 15 weeks of pregnancy, with exceptions for rape or incest or to protect the life of the mother.                    Graham noted the proposal would put the US in line with many European countries. The big difference is US states would still be able to impose stricter abortion bans like those going into effect in multiple states.                   Grahams bill is meant to counter a bipartisan proposal introduced in the Senate last month that would bring back the Roe v. Wade standard of fetal viability.                    Republicans who hope to take control of the House and Senate are fearful that the issue could turn public opinion against them and are hoping that Grahams proposal will offer abortion rights opponents something to support in November.                   There is a sort of balance here, because neither a proposal to legalize abortion nor one to ban it has much chance of gaining the supermajority of 60 votes needed to become law, since the Senate is beholden to the filibuster. Anger at the Supreme Court for taking away the right American women had for nearly 50 years is more likely to motivate voters in Novembers midterm elections.       Interactive map: See where abortion is banned  and where its still in limbo   West Virginia lawmakers pass abortion ban. The states two legislative chambers passed a ban that offers exceptions to victims of rape and incest, but only within eight weeks of pregnancy for adults and 14 weeks for minors, and only if the crimes are reported to law enforcement.        A near-total abortion ban goes into effect in Indiana on Thursday. Indiana was the first state in August to pass such a restrictive law since the Supreme Court overturned Roe v. Wade. Other bans were triggered by the courts decision.                    Indianas new law includes exceptions for saving the life of the mother and for fatal fetal anomalies up to 20 weeks post-fertilization, and it allows exceptions for pregnancies resulting from rape and incest.       A filibuster by Republicans to protect the absolute minimum abortion rights in South Carolina. It was a few Republicans, including all three of the chambers female GOP members, who shut down a near-total abortion ban proposal in South Carolina last week. Read the story by CNNs Veronica Stracqualursi, Andi Babineau and Jon Passantino.                    A six-week abortion ban had earlier passed in the state, but is the subject of a court fight, so a 20-week ban is currently in effect there.                    The CNN report included this quote from a Republican lawmaker in the state who was among the few that blocked the near-total ban pushed by her colleagues:       If you want to believe that God is wanting you to push a bill through with no exception that kills mothers and ruins the lives of children, lets mothers bring home babies to bury them, then I think youre miscommunicating with God or maybe youre just not communicating with him at all, Republican Sen. Katrina Shealy said Wednesday in a fiery speech on the Senate floor directed toward her male colleagues.   I know we disagree on a lot of issues, but hearing you talk about menstrual cycles, conception, how you know when your egg is fertilized or having a baby, I got to tell you it really disgusts me.   A vote is coming in Michigan. Voters will get their say in November. A Michigan state judge threw out a 1931 abortion ban as unconstitutional last week",7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_6,"  Supreme Court pushes divided nation closer to breaking point with new fights over abortion               Theres so much misinformation, so many myths about abortion. Abortion will lead to substance abuse, depression, suicidal thoughts; abortion is bad for your health; every woman is going to regret it, said social psychologist Brenda Major, a distinguished professor emeritus in the department of psychological and brain sciences at the University of California, Santa Barbara.                   In reality, decades of research has shown the vast majority of women feel they made the right choice, and they dont experience regret, said Major, who led a 2008 American Psychological Association task force exploring the science on abortion and mental health.                    Women who had an abortion in the first trimester were no more likely to have mental health problems than women who continued with an unplanned pregnancy, the APA review concluded.                   A large, long-term study, called The Turnaway Study, followed the mental health of nearly 1,000 women in 21 states who wanted and received an abortion and women who wanted but were denied an abortion between 2008 and 2010.                   The women were interviewed every six months over the next five years. At the end of that time, 99% of the women who had an abortion believed they had made the right decision  in fact relief was the prominent emotion, one analysis noted.                   Women who received an abortion had similar or lower levels of depression and anxiety than women denied an abortion and were no more likely to experience post-traumatic stress than women who carried their baby to term, according to study results.                   The research also found no difference in mental health outcomes between a first trimester abortion and having an abortion later in the pregnancy.                   Abortion misinformation might come from friends or family, an article or study read online, or during a mandated pre-abortion counseling session some states put into place during the Roe v. Wade era, experts told CNN.        The Catholic Church once allowed for abortions. Everything changed in 1873               Of the 33 states that have required patients receive counseling before an abortion, eight routinely included the potential for negative psychological responses as part of the conversation, according to the Guttmacher Institute, a nonprofit research and policy organization that focuses on sexual and reproductive rights worldwide.                   There are states in which women are told that because theyre having an abortion, theyre at increased risk for depression, suicidal ideation, post traumatic stress disorder and more, said Julia Steinberg, an associate professor of family science at the University of Marylands School of Public Health.                   Abortion does not cause depression, it does not cause suicide (or) suicidal ideation. It does not cause substance use. It does not cause anxiety disorders, said Steinberg, who has studied the mental health impact of abortion for years.                   In fact, the best predictor of not faring well after an abortion was a prior history of mental health issues, Major said. The best predictor of substance use after an abortion was if you were already a substance abuser, and the best predictor of depression after abortion was if youve been depressed before you had one.                   Abortion misinformation also comes from published studies in academic journals that conclude abortion does cause mental health problems, experts say.                   The studies make it look like there is a debate, but whats really going on is those studies are very poorly conducted, Steinberg said. They are not methodologically rigorous, and they dont adhere to scientific principles.                   The 2008 APA task force published a scathing rebuke of the research quality of many studies which found mental health concerns after abortion. Studies often failed to control for factors such as rape, sexual or partner violence, or a womans history of prior mental disorders or substance abuse, the task force said.                   We reviewed every legitimate study that had ever been done on this topic, Major said. The methodological flaws in so many of the studies that are being cited as showing harm to womens mental health as a result of having an abortion were just egregious.                   A later 2018 National Academies of Sciences, Engineering and Medicine review analyzed studies on abortions impact on future fertility and pregnancy outcomes, risk of breast cancer, mental health disorders, and premature death.                   ??Much of the published literature on these topics fails to meet scientific standards for rigorous, unbiased research,?? the report stated, concluding that ??having an abortion does not increase a woman??s risk of secondary infertility, pregnancy-related hypertensive disorders, abnormal placentation (after a D&E abortion), preterm birth, breast cancer, or mental health disorders (d",7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_7,"             Nearly a quarter of people seeking an abortion in the United States were unable to get one due to bans that took effect after the Supreme Courts Dobbs decision, researchers estimate. In the first half of 2023, states with abortion bans had an average fertility rate that was 2.3% higher than states where abortion was not restricted, according to the analysis  leading to about 32,000 more births than expected.        States with restrictive abortion laws place more kids in foster care, particularly kids of color               The findings are based on preliminary births data from the US Centers for Disease Control and Prevention. The research has not yet been peer-reviewed but experts say the data paints a clear picture about the direct impact of abortion restrictions.                   Its an assault on reproductive autonomy, said Alison Gemmill, an assistant professor at the Johns Hopkins Bloomberg School of Public Health. She was not involved in the new analysis, but has published research on the effect that a strict abortion law had on births in Texas.                   We dont always detect signals in these population aggregates because theres a lot of variation when you group everybody together. The fact that there is a signal at the population level means that somethings really going on. Its pretty strong evidence.                   Fertility rates  the number of births per women of reproductive age  dont typically change dramatically. A shock like Covid-19, for example, led to a temporary baby bust, said Gemmill, who has also researched infertility during the pandemic. The 4.5% decrease in fertility rate in the first year of the pandemic was the largest in decades, according to CDC data.        Abortions increased in the US overall in the year post-Dobbs, but there are stark inequalities state-to-state   Other research has found that the number of abortions increased nationwide in the year following the Dobbs decision, with especially large increases in states that border those with bans. But complete data on the number of abortions provided to people who crossed states lines for their care is not yet available, and the new research suggests that travel remains a significant barrier to access.                   After the Dobbs decision, fertility rates increased most significantly in states with longer travel times to the nearest abortion providers, the new research found, including a 5.1% increase in Texas and a 4.4% increase in Mississippi.                   Abortions have been trending up in the US for years. But rising birth rates could indicate that unmet need persists, despite an increase in the number of abortions in the year post-Dobbs.                   ??One might think that those data conflict,?? said Ushma Upadhyay, a professor at the University of California, San Francisco??s Bixby Center for Global Reproductive Health. She was not involved in the new analysis, but is co-chair of the #WeCount project that tracks abortion trends. ??But in actuality, we??ve known that there are many people who still can??t get abortions.??                   While some people may have been able to travel out of banned states for an abortion, abortions are likely also increasing among residents of states where it remains legal as additional resources and support help to address unmet need tha",6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_8,"             Amid significant upheaval to the abortion landscape in the United States, thousands of women have preemptively requested medication abortion pills in case they need them in the future, new research shows.                   Aid Access, a nonprofit telehealth service, provides medication abortion by mail. The organization has offered advance provision of those drugs, mifepristone and misoprostol, for more than two years  and demand has surged over the past year and a half since the leak of the US Supreme Courts Dobbs decision that overturned Roe v. Wade.        Post-Roe, nearly 1 in 5 people seeking an abortion traveled out of state, analysis finds               In the first eight months that Aid Access offered advance provision of medication abortion  from September 2021 through April 2022  it received an average of 25 orders a day, according to research published Tuesday in the journal JAMA Internal Medicine. But in the two months after the Dobbs decision was leaked, from May 2022 to late June 2022, daily requests spiked nearly tenfold to about 247 orders a day.                   Requests slowed for a while after the Dobbs decision was formally released, with an average of 89 orders per day from late June 2022 through early April 2023. But demand spiked again as conflicting legal rulings created uncertainty around approval for mifepristone, with more than 170 requests per day through the end of April.                   Dr. Abigail Aiken, an associate professor of public affairs at the University of Texas at Austin, who led the research, says the study shows that its?the potential policy shocks that people are reacting to. &?Its?the idea that people are paying attention and getting out ahead of things.                   What were seeing there really is a response to the fear and the uncertainty and feelings of, I guess, helplessness that the Dobbs decision brought for people, Aiken said. When the leak happened, I think the writing was on the wall and people thought,?I?need to get out ahead of this.                   Overall, Aid Access has received more than 48,000 orders for advance provision of medication abortion, according to the new research. About three-quarters of people who requested it said that they wanted to ensure personal health and choice or prepare for possible abortion restrictions.                   States considering future abortion bans had the highest rates of requests, and requestors were motivated by a desire to preserve reproductive autonomy, the researchers wrote.        How safe is the abortion pill compared with other common drugs?               Compared with those requesting medication abortion to end an existing pregnancy, people requesting advance provision of medication abortion were more likely to be wealthier, White, age 30 or older and not have other children. These differences probably reflect structural barriers, the researchers wrote.                   The structural barriers that could have influenced who was more likely to order medication abortion pills in advance include their cost and access to information about them, Aiken said. The service can cost more than $100, although Aid Access offers a sliding scale for those who need it, and people with fewer means are less likely to be able to spend that much to order medication?they??re?not certain to n",4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_9," A version of this story appeared in CNNs What Matters newsletter. To get it in your inbox, sign up for free?here.               The post-Roe v. Wade landscape for American women includes the term court-ordered abortion due to a troubling case in Texas, consideration of a Civil War-era abortion law in Arizona and the US Supreme Court announcing it would revisit the issue for the first time since removing nationwide abortion rights last year.                   There are very different realities for women across the country:                   ? A Texas womans horror story raised serious questions about whether women who need life-saving exceptions to abortion bans can actually obtain them.                   The woman, 31-year-old Kate Cox, had to flee the state, which has one of the strictest abortion laws in the country, to end a pregnancy where the fetus had a fatal condition. Her doctor said it would jeopardize her life and future fertility. The states Republican-dominated Supreme Court wanted more guidance from the states medical board before granting an exception.                   ? Lawyers for a woman who is the lead plaintiff in a class action lawsuit challenging Kentuckys six-week abortion ban said her pregnancy is no longer viable, which could call the lawsuit into question.                   ? Abortion rights opponents argued before Arizonas Supreme Court in favor of reverting to an 1864 law that predates Arizonas statehood and could send abortion providers to prison.                   ? In New Mexico, which has a more liberal abortion law, the state Supreme Court is considering whether to strike down local restrictions at the city and county levels.                   ? Michigans governor signed a new law to do away with restrictions on abortion rights and no longer require women to obtain a special abortion rider in their health insurance plans.                   ? At the national level, the US Supreme Court agreed to consider whether to restrict the access of every American woman to mifepristone, the long-approved medication behind most early term US abortions.        How safe is the abortion pill compared with other common drugs?               Court whisperers say that case may not, as many American women worried when they read the headlines, jeopardize access to the medication, which has been safely used in conjunction with another drug as an abortion method for nearly a quarter century.                   The details of that case get complicated and include multiple Food and Drug Administration actions since 2000. Biden administration lawyers have argued the anti-abortion rights doctors who brought the case lack standing because they dont themselves prescribe the drugs or perform abortions.       Read CNNs report on the courts decision to hear the case.                   Its most likely the case will be resolved on procedural grounds that wont have any direct effect on access to mifepristone going forward, Steve Vladeck, a CNN Supreme Court analyst and professor at the University of Texas Law School, told CNNs Devan Cole and Ariane de Vogue.                   CNNs Supreme Court biographer Joan Biskupic writes this analysis of the courts move: The most personal choices of women (with their physicians) are now litigated in courtrooms, alongside new policy dilemmas, such as over governments approval of mifepristone. She adds that the federal government is also challenging Idahos near total abortion ban based on its reading of Medicare law.                   Texas and Idaho are two of the 14 states in which abortion is essentially banned. But even in red states, voters have taken the opposite direction of GOP-dominated legislatures.                   CNN??s Deidre McPhillips reported on a steep rise in the number of women ?C up to 20% of women seeking abortions in the US ?C traveling in order to obtain care.                   She writes: ??Nearly three-quarters of the abortions in New Mexico were provided to people who had traveled across state lines, according to the new data from the Guttmacher Institute. More than 8,200 people from out of state had an abortion in New Mexico in the first half of 2023. Only Illinois and North Carolina saw more out-of-state patients.??       ",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNNNews_10,"             I was standing there watching her hemorrhage out, waiting for permission to do the termination. It is a disgusting feeling. It is a sad feeling. And youre sitting there literally watching her blood pressure going down while youre waiting for permission, the Chair of Obstetrics and Gynecology at the University of South Florida told CNN. Its just sad to now know & that that will be happening all over across the country where [terminating a pregnancy] wont even be a possibility for a lot of states.                   Dr. Louis and other health care experts fear that with Roe v. Wade overturned, potential widespread abortion bans will deepen the United States maternal mortality crisis./ Health care experts told CNN they worry that reducing access to abortion  by closing clinics, setting early gestational limits or outlawing the procedure altogether  may lead to more pregnancy-related deaths in the United States.                   Rates of pregnancy-related deaths in the US are the highest in the developed world and have risen steadily over time, with Black women three times more likely to die in pregnancy or childbirth than White women. The CDC recently reported that the rate of pregnancy-related deaths increased from 20.1 in 2019 to 23.8 in 2020, continuing a worrying trend of worsening maternal health outcomes for people in the United States.                   Now that the Supreme Court has overturned Roe v. Wade, 26 states are poised to ban abortion through pre-existing bans or trigger laws that will now go into effect without the landmark ruling is no longer in place. As a result, more than 10 million people of reproductive age would have to cross state lines to access the procedure in the nearest state where it is legal, according to the Guttmacher Institute, a research and policy institute that supports legal abortion rights.                   [People] may seek unsafe ways of terminating a pregnancy and could have harmful consequences, said Whitney Rice, the director of the Center for Reproductive Health Research in the Southeast at Emory University. You also have people who may sort of be forced to continue pregnancies to term and could have a risk of infant health outcomes that include low birth weight, preterm birth, or may have a risk of maternal mortality.                   Maternal mortality rates are already high in those states certain or likely to ban abortion  47% higher than the national rate, according to a CNN analysis of 2018 data from the Centers for Disease Control and Prevention, the most recent available.                    Overall, states with the most restrictive abortion laws had a 7% higher maternal mortality rate than states with fewer restrictions, according to a 2021 study in the American Journal of Public Health.                    States that restricted abortion based on gestational limits saw a steep rise in the maternal mortality rate by 38%, according to a 2020 study in the American Journal of Preventive Medicine. A 20% reduction in Planned Parenthood clinics in a state between 2007-2015 resulted, on average, in an increase in the states maternal mortality rates by 8%.                   Black people are three times more likely to die of pregnancy-related causes than non-Hispanic White and Hispanic people, according to the CDC. With reduced access to abortion and other forms of reproductive healthcare, experts worry that these rates could rise in a post-Roe landscape.                   These disparities are rooted in decades of structural disadvantages and well-documented discrimination in medical care, leading to persisting gaps across socioeconomic and educational levels.                    [Marginalized groups] really face barriers in every sense of the way, said Dr. Louis. They face barriers in terms of getting care in a timely fashion, barriers in being able to see a health care provider, and then barriers to getting the appropriate treatment. And thats even if theyre offered appropriate treatment.                   Access to maternal care is also worse in the 26 states that the Guttmacher Institute expects will be certain or likely to ban abortion. More than half of all counties in these states are classified as having low access to maternal care or are maternity-care deserts, according to a CNN analysis of data from the March of Dimes, compared to 39% of counties in states that are not likely to ban abortion if Roe is overturned.                   Nationwide, approximately 5.1 million women aged 15-44 live in areas with low access to maternal care ?? or ??maternity care deserts,?? according to a 2020 report from the March of Dimes, a nonprofit that advocates for better health care outcomes for mothers and babies. The organization defines a maternity care desert as any county where there is no hospital offering obste",7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
